Nom,Equipe,Age,Poste,apps,min,goals,assists,xG,xA,xG90,xA90,xG90xA90,Valeur marchande(mio),SHOTS,Dribble,,Note
Fernando Calero,Espanyol,29,Défenseur central,21,675,1,0,0.57,0.05,0.08,0.01,0.08,1.50,,0.1,,6.38
Juanma Herzog,Las Palmas,21,Défenseur central,19,1321,0,0,0.59,0,0.04,0.00,0.04,2.50,,#N/A,,#N/A
Yeray alvarez,Athletic Club,30,Défenseur central,21,1784,1,0,0.61,0.48,0.03,0.02,0.05,7.00,,0.3,,07.04
Eder Militao,Real Madrid,27,Défenseur central,12,938,1,1,0.7,0.5,0.07,0.05,0.11,30.00,,#N/A,,#N/A
Abdul Mumin,Rayo Vallecano,27,Défenseur central,24,2020,2,1,0.76,0.19,0.03,0.01,0.04,5.00,,0.2,,6.81
Loïc Bade,Sevilla,25,Défenseur central,32,2682,1,1,0.82,0.36,0.03,0.01,0.04,25.00,,0.5,,6.76
Abdel Abqar,Alaves,26,Défenseur central,29,2489,0,1,0.86,0.24,0.03,0.01,0.04,7.50,,0.4,,6.53
Igor Zubeldia,Real Sociedad,28,Défenseur central,28,2283,0,0,0.91,0.29,0.04,0.01,0.05,12.00,,0.4,,6.61
Aridane Hernandez,Rayo Vallecano,36,Défenseur central,14,1026,0,0,1.14,0.05,0.10,0.00,0.1,0.30,,#N/A,,#N/A
Ronald Araujo,Barcelona,26,Défenseur central,12,771,1,1,1.17,0.49,0.14,0.06,0.19,35.00,,#N/A,,#N/A
Scott McKenna,Las Palmas,28,Défenseur central,29,2468,0,0,1.19,0.25,0.04,0.01,0.05,4.00,,0.3,,6.49
Eray Cömert,Real Valladolid,27,Défenseur central,25,1800,0,0,1.21,0,0.06,0.00,0.06,2.00,,0.4,,6.13
Enzo Barrenechea,Valencia,24,Défenseur central,30,2245,1,2,1.26,0.83,0.05,0.03,0.08,10.00,,0.4,,6.71
Mouctar Diakhaby,Valencia,28,Défenseur central,13,641,2,0,1.32,0.02,0.19,0.00,0.19,2.00,,#N/A,,#N/A
Jose Gaya,Valencia,30,Défenseur central,23,1839,0,1,1.33,3.39,0.07,0.17,0.23,9.00,,#N/A,,#N/A
Marc Bartra,Real Betis,34,Défenseur central,25,2101,2,1,1.37,0.14,0.06,0.01,0.06,1.00,,0.3,,6.94
Juan Iglesias,Getafe,26,Défenseur central,37,2888,0,1,1.42,02.03,0.04,0.06,0.11,3.50,,0.6,,6.67
Leandro Cabrera,Espanyol,34,Défenseur central,33,2878,4,2,1.61,0.93,0.05,0.03,0.08,1.00,,-,,6.77
Ladislav Krejci,Girona,26,Défenseur central,28,2436,2,0,1.68,0.33,0.06,0.01,0.07,12.00,,0.6,,6.54
Jorge Herrando,Osasuna,24,Défenseur central,18,1362,1,0,1.73,0,0.11,0.00,0.11,4.00,,#N/A,,#N/A
Jorge Saenz,Leganes,28,Défenseur central,23,1694,1,0,1.82,0.14,0.10,0.01,0.1,1.50,,0.2,,6.81
Diego Llorente,Real Betis,31,Défenseur central,30,2521,2,0,1.84,0.37,0.07,0.01,0.08,6.00,,0.2,,6.87
Sergio Gonzalez,Leganes,33,Défenseur central,36,2966,2,0,1.96,0.58,0.06,0.02,0.08,0.80,,0.4,,6.62
Ander Barrenetxea,Real Sociedad,23,Défenseur central,30,1271,1,3,1.97,2.45,0.14,0.17,0.31,15.00,,0.8,,6.31
Omar Alderete,Getafe,28,Défenseur central,34,2999,1,0,2.14,0.91,0.06,0.03,0.09,8.00,,0.5,,6.91
Nayef Aguerd,Real Sociedad,29,Défenseur central,21,1772,0,0,2.15,0.35,0.11,0.02,0.13,18.00,,0.2,,6.93
Kike Perez,Real Valladolid,28,Défenseur central,19,1225,2,0,2.24,1.38,0.16,0.10,0.27,2.80,,1.1,,6.50
Cesar Tarrega,Valencia,23,Défenseur central,34,3029,2,0,2.28,0.11,0.07,0.00,0.07,10.00,,0.3,,6.74
Eric Garcia,Barcelona,24,Défenseur central,29,1532,2,3,2.35,1.1,0.14,0.06,0.2,18.00,,0.2,,6.73
Aitor Paredes,Athletic Club,25,Défenseur central,23,1828,3,0,2.49,0.06,0.12,0.00,0.13,22.00,,0.3,,6.54
Marash Kumbulla,Espanyol,25,Défenseur central,35,2981,3,0,2.69,0.29,0.08,0.01,0.09,7.50,,0.1,,6.74
Borja Mayoral,Getafe,28,Avant-centre,24,1064,5,1,4.1,1.32,0.35,0.11,0.46,7.50,20,0.8,,6.35
Anastasios Douvikas,Celta Vigo,25,Avant-centre,20,690,3,1,5.1,0.23,0.67,0.03,0.7,10.00,17,#N/A,,#N/A
Sandro Ramirez,Las Palmas,29,Avant-centre,31,2086,9,3,4.3,3.5,0.19,0.15,0.34,2.50,52,1.7,,6.68
Diego Garcia,Leganes,25,Avant-centre,28,1171,3,0,4.4,0.26,0.34,0.02,0.36,1.50,29,1,,6.22
Oliver McBurnie,Las Palmas,29,Avant-centre,34,1835,3,6,06.04,3.45,0.30,0.17,0.47,2.50,32,0.9,,6.54
Thierno Barry,Villarreal,22,Avant-centre,35,2322,11,4,15.06,3.67,0.58,0.14,0.73,20.00,73,0.5,,6.83
Vitor Roque,Real Betis,20,Avant-centre,22,1252,4,0,06.07,1.75,0.44,0.13,0.56,20.00,41,1.9,,6.47
Abel Ruiz,Girona,25,Avant-centre,23,1383,4,0,4.9,0.44,0.32,0.03,0.35,4.00,23,1,,6.31
Irvin Cardona,Espanyol,27,Avant-centre,16,577,1,1,0.88,0.87,0.14,0.13,0.27,2.50,10,#N/A,,#N/A
Walid Cheddira,Espanyol,27,Avant-centre,22,587,1,1,1.42,01.04,0.22,0.16,0.38,2.50,13,0.6,,6.19
Chimy Avila,Real Betis,31,Avant-centre,19,642,2,0,1.83,1.35,0.26,0.19,0.45,2.00,20,1.1,,6.36
Sergio Gomez,Real Sociedad,24,Avant-centre,37,2745,2,5,1.88,8.35,0.06,0.27,0.34,20.00,18,0.6,,6.79
Inaki Williams,Athletic Club,31,Avant-centre,35,2659,6,8,10.16,8.79,0.34,0.30,0.64,15.00,63,0.9,,6.89
Kike Garcia,Alaves,35,Avant-centre,35,2571,13,0,10.71,0.76,0.38,0.03,0.4,0.90,63,0.4,,6.71
Hugo Duro,Valencia,25,Avant-centre,31,2180,11,2,10.97,1.45,0.45,0.06,0.51,14.00,48,1.6,,6.59
Vedat Muriqi,Mallorca,31,Avant-centre,29,2081,7,2,10.99,2.7,0.48,0.12,0.59,5.00,54,0.3,,6.72
Borja Iglesias,Celta Vigo,32,Avant-centre,37,1968,11,3,11.55,3.18,0.53,0.15,0.67,3.00,46,1.2,,6.52
Julian Alvarez,Atletico Madrid,25,Avant-centre,37,2543,17,4,14.16,6.46,0.50,0.23,0.73,100.00,73,0.9,,07.01
Ayoze Perez,Villarreal,31,Avant-centre,30,1987,19,2,15.23,3.13,0.69,0.14,0.83,10.00,75,1.1,,7.11
Alejo Veliz,Espanyol,21,Avant-centre,27,1115,1,0,2.34,0.07,0.19,0.01,0.19,2.50,19,0.7,,6.24
Jaime Mata,Las Palmas,36,Avant-centre,30,571,0,0,2.45,0.11,0.39,0.02,0.4,0.40,17,0.5,,6.11
Rafa Mir,Valencia,28,Avant-centre,20,716,1,2,2.54,0.94,0.32,0.12,0.44,0.80,27,1.4,,6.27
Bertug Yildirim,Getafe,22,Avant-centre,22,1101,1,0,2.61,1.14,0.21,0.09,0.31,2.00,19,0.9,,6.37
Bojan Miovski,Girona,26,Avant-centre,17,898,2,1,2.68,0.17,0.27,0.02,0.29,2.50,14,#N/A,,#N/A
Roberto Navarro,Mallorca,23,Avant-centre,23,1302,1,0,2.83,1.88,0.20,0.13,0.33,6.00,18,#N/A,,#N/A
Alexander Sørloth,Atletico Madrid,29,Avant-centre,35,1525,20,2,20.45,1.3,1.21,0.08,1.28,25.00,79,0.4,,6.95
Ante Budimir,Osasuna,33,Avant-centre,38,3008,21,4,20.67,1.88,0.62,0.06,0.67,5.00,99,0.3,,6.98
Robert Lewandowski,Barcelona,36,Avant-centre,34,2716,27,2,29.41,2.48,0.97,0.08,01.06,12.00,115,0.6,,7.27
Maroan Sannadi,Athletic Club,24,Avant-centre,16,743,1,1,3.25,1.21,0.39,0.15,0.54,10.00,19,#N/A,,#N/A
Roberto Fernandez,Espanyol,22,Avant-centre,19,1537,6,0,3.25,0.89,0.19,0.05,0.24,6.00,21,1.1,,6.67
Raul Garcia,Osasuna,24,Avant-centre,32,673,4,0,3.33,0.69,0.45,0.09,0.54,3.00,25,0.8,,6.25
Sergi Cardona,Villarreal,25,Avant-centre,35,2974,1,7,3.42,06.03,0.10,0.18,0.29,10.00,20,0.3,,6.90
Christantus Uche,Getafe,22,Avant-centre,33,2542,4,6,3.54,4.28,0.13,0.15,0.28,15.00,50,1.5,,6.67
Cedric Bakambu,Real Betis,34,Avant-centre,25,661,2,2,3.76,0.84,0.51,0.11,0.63,1.50,24,0.9,,6.21
Antonio Martinez,Alaves,28,Avant-centre,28,965,4,0,3.82,0.68,0.36,0.06,0.42,2.50,46,#N/A,,#N/A
Kylian Mbappe,Real Madrid,26,Avant-centre,34,2938,31,3,30.14,9.39,0.92,0.29,1.21,180.00,161,2.4,,7.75
Umar Sadiq,"Real Sociedad,Valencia",28,Avant-centre,23,1040,5,0,4.48,0.89,0.39,0.08,0.47,5.00,20,#N/A,,#N/A
Juanmi Latasa,Real Valladolid,24,Avant-centre,28,1376,3,0,4.55,0.58,0.30,0.04,0.34,2.00,40,1.4,,6.31
Cucho Hernandez,Real Betis,26,Avant-centre,15,1172,5,1,4.77,1.61,0.37,0.12,0.49,18.00,43,#N/A,,#N/A
Mamadou Sylla,Real Valladolid,31,Avant-centre,29,1569,5,1,4.97,0.96,0.29,0.06,0.34,1.20,22,0.8,,6.23
Orri oskarsson,Real Sociedad,20,Avant-centre,23,929,3,0,5.61,0.17,0.54,0.02,0.56,15.00,19,0.8,,6.22
Miguel De la Fuente,Leganes,25,Avant-centre,34,1708,1,3,5.79,1.13,0.31,0.06,0.36,2.00,35,1,,6.17
Gorka Guruzeta,Athletic Club,28,Avant-centre,36,1856,7,2,6.79,1.45,0.33,0.07,0.4,9.00,59,1.6,,6.51
Cyle Larin,Mallorca,30,Avant-centre,32,1781,7,2,7.24,1.58,0.37,0.08,0.45,3.50,39,1.2,,6.35
Isaac Romero,Sevilla,25,Avant-centre,31,2200,4,2,8.18,2.59,0.33,0.11,0.44,6.00,54,1.7,,6.39
Iago Aspas,Celta Vigo,37,Avant-centre,30,1751,10,5,8.27,4.82,0.43,0.25,0.67,2.00,52,0.5,,6.73
Cristhian Stuani,Girona,38,Avant-centre,32,998,11,2,8.71,0.43,0.79,0.04,0.82,1.00,34,1.1,,6.41
Fabio Silva,Las Palmas,22,Avant-centre,24,1902,10,3,9.28,2.49,0.44,0.12,0.56,20.00,49,0.9,,6.87
Ferran Torres,Barcelona,25,Avant-centre,27,1093,10,6,9.68,3.56,0.80,0.29,01.09,40.00,48,0.4,,6.73
Ferland Mendy,Real Madrid,30,Arrière gauche,14,1019,0,1,0,0.64,0.00,0.06,0.06,14.00,,#N/A,,#N/A
Toni Lato,Mallorca,27,Arrière gauche,14,615,0,0,0,0.32,0.00,0.05,0.05,1.80,,#N/A,,#N/A
Reinildo Mandava,Atletico Madrid,31,Arrière gauche,19,916,0,0,0.05,0.18,0.01,0.02,0.02,5.00,,0.1,,6.39
Raul Asencio,Real Madrid,22,Arrière gauche,23,1675,0,1,0.07,0.76,0.00,0.04,0.04,40.00,,0.3,,6.78
Juan Cruz,Osasuna,25,Arrière gauche,25,1509,0,0,0.12,0.03,0.01,0.00,0.01,5.00,,1.2,,6.73
Javi Lopez,Real Sociedad,23,Arrière gauche,29,1934,0,0,0.14,0.87,0.01,0.04,0.05,7.50,,0.2,,6.34
Aihen Munoz,Real Sociedad,27,Arrière gauche,21,1098,0,0,0.16,0.13,0.01,0.01,0.02,4.00,,0.3,,6.44
Ricardo Rodriguez,Real Betis,32,Arrière gauche,18,1282,0,1,0.24,0.35,0.02,0.02,0.04,2.00,,#N/A,,#N/A
Javi Galan,Atletico Madrid,30,Arrière gauche,25,1806,0,2,0.24,3.32,0.01,0.17,0.18,4.00,,1.1,,6.85
Adam Aznou,Real Valladolid,19,Arrière gauche,13,884,0,0,0.27,0.53,0.03,0.05,0.08,4.00,,#N/A,,#N/A
Jesus Vazquez,Valencia,22,Arrière gauche,19,907,0,0,0.27,0.53,0.03,0.05,0.08,3.00,,0.3,,6.37
Diego Rico,Getafe,32,Arrière gauche,33,2822,0,3,0.33,3.29,0.01,0.10,0.12,1.20,,0.2,,6.74
Adama Boiro,Athletic Club,23,Arrière gauche,18,1120,0,0,0.39,0.41,0.03,0.03,0.06,2.50,,#N/A,,#N/A
Enric Franquesa,Leganes,28,Arrière gauche,12,612,1,0,0.39,0.06,0.06,0.01,0.07,1.50,,#N/A,,#N/A
Brian Olivan,Espanyol,31,Arrière gauche,17,1020,0,1,0.41,0.94,0.04,0.08,0.12,1.80,,#N/A,,#N/A
Jon Aramburu,Real Sociedad,22,Arrière gauche,35,2466,1,1,0.45,0.9,0.02,0.03,0.05,15.00,,0.2,,6.71
Abel Bretones,Osasuna,24,Arrière gauche,35,2061,2,0,0.45,1.11,0.02,0.05,0.07,4.00,,0.3,,6.50
Yuri Berchiche,Athletic Club,35,Arrière gauche,30,2027,0,2,0.59,1.93,0.03,0.09,0.11,1.40,,0.5,,6.63
Romain Perraud,Real Betis,27,Arrière gauche,28,2005,2,2,0.6,1.94,0.03,0.09,0.11,5.00,,0.7,,6.44
Gerard Martin,Barcelona,23,Arrière gauche,28,1018,1,3,0.64,1.3,0.06,0.11,0.17,12.00,,0.3,,6.43
Juan Bernat,"Getafe,Villarreal",32,Arrière gauche,24,892,0,2,0.69,1.1,0.07,0.11,0.18,2.00,,#N/A,,#N/A
Alfonso Espino,Rayo Vallecano,33,Arrière gauche,16,835,0,1,0.71,0.66,0.08,0.07,0.15,1.20,,#N/A,,#N/A
Manu Fuster,Las Palmas,27,Arrière gauche,28,958,2,1,0.75,1.39,0.07,0.13,0.2,1.50,,0.6,,6.39
Johan Mojica,Mallorca,32,Arrière gauche,36,2747,1,2,0.77,4.5,0.03,0.15,0.17,2.00,,0.5,,6.58
Adrià Pedrosa,Sevilla,27,Arrière gauche,31,2323,1,1,0.87,1.72,0.03,0.07,0.1,7.00,,0.8,,6.64
Sergio Carreira,Celta Vigo,24,Arrière gauche,23,1658,0,4,0.95,2.71,0.05,0.15,0.2,4.00,,0.6,,6.58
Javi Hernandez,Leganes,27,Arrière gauche,31,2401,2,1,1.13,1.54,0.04,0.06,0.1,2.50,,0.5,,6.46
alex Munoz,Las Palmas,30,Arrière gauche,21,1443,3,0,1.15,0.53,0.07,0.03,0.1,1.00,,0.4,,6.58
Fran Garcia,Real Madrid,25,Arrière gauche,31,2180,0,2,1.22,2.22,0.05,0.09,0.14,18.00,,0.3,,6.75
Pep Chavarria,Rayo Vallecano,27,Arrière gauche,34,2574,0,1,1.25,1.71,0.04,0.06,0.1,5.00,,0.3,,6.58
Pablo Ibanez,Osasuna,26,Arrière gauche,28,1286,1,1,1.41,1.21,0.10,0.08,0.18,2.00,,0.7,,6.34
Juan Foyth,Villarreal,27,Arrière gauche,19,1515,1,0,2.26,0.4,0.13,0.02,0.16,15.00,,0.2,,6.98
Alejandro Catena,Osasuna,30,Arrière gauche,35,3086,1,3,2.98,2.51,0.09,0.07,0.16,3.00,,0.2,,6.86
Marcos Alonso,Celta Vigo,34,Arrière gauche,31,2660,3,0,4.14,1.85,0.14,0.06,0.2,1.50,,0.5,,6.74
Javier Manquillo,Celta Vigo,31,Arrière droit,10,533,0,0,0,0,0.00,0.00,0,1.00,,#N/A,,#N/A
Nahuel Molina,Atletico Madrid,27,Arrière droit,30,1565,0,3,1,1.93,0.06,0.11,0.17,20.00,,0.3,,6.54
Daniel Carvajal,Real Madrid,33,Arrière droit,8,613,1,0,1.1,0.13,0.16,0.02,0.18,8.00,,#N/A,,#N/A
Santiago Mourino,Alaves,23,Arrière droit,25,1827,0,1,01.01,0.95,0.05,0.05,0.1,3.00,,0.2,,6.80
angel Correa,Atletico Madrid,30,Arrière droit,31,721,4,1,5.4,02.08,0.67,0.26,0.93,10.00,34,1.1,,6.32
Koke,Atletico Madrid,33,Arrière droit,32,1915,1,1,1.5,1.33,0.07,0.06,0.13,8.00,,0.3,,6.55
Ivan Balliu,Rayo Vallecano,33,Arrière droit,25,1167,0,0,0.02,0.34,0.00,0.03,0.03,1.40,,-,,6.32
Omar El Hilali,Espanyol,21,Arrière droit,36,3173,0,2,0.03,1.21,0.00,0.03,0.04,15.00,,0.5,,6.80
Antonio Candela,Real Valladolid,25,Arrière droit,12,935,0,0,0.05,0.39,0.00,0.04,0.04,1.80,,#N/A,,#N/A
Viti Rozada,Las Palmas,27,Arrière droit,29,2005,0,2,0.07,1.42,0.00,0.06,0.07,2.00,,0.1,,6.58
Hector Bellerin,Real Betis,30,Arrière droit,9,569,0,2,0.11,1.82,0.02,0.29,0.31,2.00,,#N/A,,#N/A
Inigo Lekue,Athletic Club,32,Arrière droit,16,757,0,0,0.14,0.57,0.02,0.07,0.08,2.00,,#N/A,,#N/A
Youssouf Sabaly,Real Betis,32,Arrière droit,22,1612,0,1,0.23,0.58,0.01,0.03,0.05,1.80,,0.2,,6.28
Marvin Park,Las Palmas,24,Arrière droit,23,1008,0,0,0.23,1.28,0.02,0.11,0.13,1.20,,0.2,,6.25
Adria Alti,Leganes,24,Arrière droit,22,1645,0,0,0.25,0.59,0.01,0.03,0.05,1.50,,#N/A,,#N/A
Hector Fort,Barcelona,18,Arrière droit,17,552,0,0,0.27,1.3,0.04,0.21,0.26,10.00,,#N/A,,#N/A
Andoni Gorosabel,Athletic Club,28,Arrière droit,20,1508,0,2,0.29,2.37,0.02,0.14,0.16,5.00,,0.4,,6.77
Kiko Femenia,Villarreal,34,Arrière droit,28,2242,0,1,0.32,2.13,0.01,0.09,0.1,0.90,,0.1,,6.66
Hamari Traore,Real Sociedad,33,Arrière droit,11,725,0,1,0.33,0.16,0.04,0.02,0.06,2.00,,#N/A,,#N/A
Pablo Maffeo,Mallorca,27,Arrière droit,30,2385,0,2,0.34,4.4,0.01,0.17,0.18,5.00,,1.4,,6.87
Mateu Morey,Mallorca,25,Arrière droit,16,734,0,0,0.44,0.25,0.05,0.03,0.08,0.80,,#N/A,,#N/A
Allan Nyom,Getafe,37,Arrière droit,20,877,1,2,0.54,0.37,0.06,0.04,0.09,0.30,,0.4,,6.31
Alejandro Balde,Barcelona,21,Arrière droit,32,2303,0,4,0.55,3.66,0.02,0.14,0.16,60.00,,1.4,,6.73
Thierry Correia,Valencia,26,Arrière droit,11,782,0,0,0.57,0.3,0.07,0.03,0.1,3.00,,#N/A,,#N/A
Jesus Areso,Osasuna,25,Arrière droit,36,3111,0,3,0.57,3.45,0.02,0.10,0.12,12.00,,0.2,,6.55
Jose angel Carmona,Sevilla,23,Arrière droit,35,2993,0,0,0.6,1.95,0.02,0.06,0.08,12.00,,0.5,,6.70
Dimitri Foulquier,Valencia,32,Arrière droit,32,2293,0,1,0.61,1.56,0.02,0.06,0.09,1.50,,0.4,,6.37
Alvaro Tejero,Espanyol,28,Arrière droit,28,1227,1,4,0.67,3.33,0.05,0.24,0.29,1.80,,0.6,,6.45
Ruben Pena,Osasuna,33,Arrière droit,25,737,0,0,0.86,0.51,0.11,0.06,0.17,1.20,10,0.4,,6.19
alvaro Djalo,Athletic Club,25,Arrière droit,17,637,1,0,0.9,01.09,0.13,0.15,0.28,5.00,15,#N/A,,#N/A
Pau Cubarsi,Barcelona,18,Arrière droit,35,2631,0,3,0.94,1.54,0.03,0.05,0.08,80.00,,0.2,,6.73
De Marcos,Athletic Club,36,Arrière droit,26,1554,0,4,1.16,2.86,0.07,0.17,0.23,1.50,,#N/A,,#N/A
Jon Ander Olasagasti,Real Sociedad,24,Arrière droit,22,821,1,1,1.22,01.06,0.13,0.12,0.25,4.00,,#N/A,,#N/A
Lucas Vazquez,Real Madrid,33,Arrière droit,32,2218,1,5,1.87,5.29,0.08,0.21,0.29,3.00,,0.5,,6.67
Pablo Fornals,Real Betis,29,Arrière droit,26,1876,2,0,1.94,03.07,0.09,0.15,0.24,6.00,23,0.9,,6.58
Andrei Ratiu,Rayo Vallecano,27,Arrière droit,35,3066,2,3,2.14,5.58,0.06,0.16,0.23,12.00,,2.2,,6.90
oscar Mingueza,Celta Vigo,26,Arrière droit,34,2761,4,6,2.16,5.68,0.07,0.19,0.26,20.00,,1,,6.66
Arnau Martinez,Girona,22,Arrière droit,32,2631,2,2,2.59,1.92,0.09,0.07,0.15,10.00,,0.6,,6.64
Jules Kounde,Barcelona,26,Arrière droit,32,2606,2,3,2.74,4.13,0.09,0.14,0.24,65.00,,0.7,,6.89
Nahuel Tenaglia,Alaves,29,Arrière droit,34,2930,2,1,2.74,1.93,0.08,0.06,0.14,3.00,,0.5,,6.89
Juanlu Sanchez,Sevilla,21,Arrière droit,32,1740,4,4,2.92,2.71,0.15,0.14,0.29,12.00,,0.4,,6.55
Marcos Andre,Real Valladolid,28,Arrière droit,22,1213,1,2,3.19,1.41,0.24,0.10,0.34,1.00,22,1,,6.34
Sergio Camello,Rayo Vallecano,24,Arrière droit,23,1150,3,2,3.94,2.31,0.31,0.18,0.49,3.00,32,1.4,,6.48
Luis Perez,Real Valladolid,30,Aririère droit,30,2548,0,0,0.15,2.61,0.01,0.09,0.1,1.40,,0.2,,6.43
alex Baena,Villarreal,23,Ailier gauche,32,2639,7,9,7.2,12.61,0.25,0.43,0.68,55.00,70,0.7,,7.22
Nico Williams,Athletic Club,22,Ailier gauche,29,1994,5,5,4.6,4.17,0.21,0.19,0.4,70.00,54,2.3,,6.98
Samuel Lino,Atletico Madrid,25,Ailier gauche,31,1580,3,4,06.08,3.48,0.35,0.20,0.54,22.00,45,0.9,,6.72
Alfon Gonzalez,Celta Vigo,26,Ailier gauche,26,1382,5,2,4.9,3.2,0.32,0.21,0.53,5.00,45,1.8,,6.52
Jonathan Bamba,Celta Vigo,29,Ailier gauche,12,823,0,1,0.66,1.87,0.07,0.20,0.28,3.50,13,#N/A,,#N/A
Chidera Ejuke,Sevilla,27,Ailier gauche,25,917,2,1,0.95,1.6,0.09,0.16,0.25,4.00,20,0.8,,6.61
Darwin Machis,Real Valladolid,32,Ailier gauche,18,621,0,1,1.14,01.08,0.16,0.16,0.32,0.60,14,#N/A,,#N/A
Yan Diomande,Leganes,18,Ailier gauche,10,544,2,1,1.27,0.82,0.21,0.14,0.35,1.50,11,#N/A,,#N/A
Coba da Costa,Getafe,22,Ailier gauche,19,1003,1,1,1.43,1.63,0.13,0.15,0.27,3.00,23,1.2,,6.55
Rodrigo de Paul,Atletico Madrid,31,Ailier gauche,34,2137,3,5,1.47,5.93,0.06,0.25,0.31,25.00,19,0.6,,6.69
Luis Milla,Getafe,30,Ailier gauche,33,2887,1,4,1.86,4.25,0.06,0.13,0.19,3.50,32,0.6,,6.78
Sheraldo Becker,Real Sociedad,30,Ailier gauche,22,996,2,1,1.88,1.79,0.17,0.16,0.33,2.50,22,1,,6.29
Vinicius Junior,Real Madrid,24,Ailier gauche,30,2267,11,8,12.78,8.64,0.51,0.34,0.85,170.00,81,2.7,,7.23
Raphinha,Barcelona,28,Ailier gauche,36,2862,18,10,19.27,13.53,0.61,0.43,01.03,90.00,114,1.4,,7.62
Bryan Gil,Girona,24,Ailier gauche,25,1769,3,3,2.35,2.93,0.12,0.15,0.27,15.00,32,1.6,,6.71
Carlos Martin,Alaves,23,Ailier gauche,26,1367,2,2,2.48,2.59,0.16,0.17,0.33,2.80,26,1,,6.44
Jesus Rodriguez,Real Betis,19,Ailier gauche,21,1143,2,0,2.51,0.36,0.20,0.03,0.23,30.00,23,1.1,,6.57
Hugo alvarez,Celta Vigo,21,Ailier gauche,26,1572,4,3,2.69,1.6,0.15,0.09,0.25,7.50,25,1,,6.60
Juan Cruz,Leganes,25,Ailier gauche,34,2292,5,4,2.75,4.15,0.11,0.16,0.27,5.00,33,1.2,,6.73
Ruben Vargas,Sevilla,26,Ailier gauche,11,693,2,1,2.79,01.03,0.36,0.13,0.5,7.00,17,#N/A,,#N/A
Bryan Zaragoza,Osasuna,23,Ailier gauche,27,1887,1,6,3.27,4.37,0.16,0.21,0.36,12.00,42,2.1,,6.79
Tomas Conechny,Alaves,27,Ailier gauche,22,837,1,0,3.48,0.35,0.37,0.04,0.41,1.80,22,1,,6.29
Juanmi,"Getafe,Real Betis",32,Ailier gauche,24,914,0,0,3.69,0.84,0.36,0.08,0.45,2.00,13,#N/A,,#N/A
Arnaut Danjuma,"Girona,Villarreal",28,Ailier gauche,28,1562,4,0,4.42,2.28,0.25,0.13,0.39,4.00,30,1.2,,6.37
Raul Moro,Real Valladolid,22,Ailier gauche,33,2352,4,5,4.52,5.58,0.17,0.21,0.39,7.50,45,1.4,,6.70
Williot Swedberg,Celta Vigo,21,Ailier gauche,32,1329,4,5,5.42,2.35,0.37,0.16,0.53,5.00,32,1,,6.44
alvaro Garcia,Rayo Vallecano,32,Ailier gauche,36,2581,4,5,7.54,5.74,0.26,0.20,0.46,2.00,71,2,,6.61
Abde Ezzalzouli,Real Betis,23,Ailier gauche,32,2038,2,2,9.59,2.41,0.42,0.11,0.53,12.00,62,1.9,,6.66
Takefusa Kubo,Real Sociedad,24,Ailier droit ,36,2392,5,0,4.22,5.49,0.16,0.21,0.37,30.00,43,2.1,,6.77
Giuliano Simeone,Atletico Madrid,22,Ailier droit,33,1988,2,6,3,7.18,0.14,0.33,0.46,35.00,22,0.7,,6.66
Pablo Duran,Celta Vigo,24,Ailier droit,27,1393,4,4,3.1,3.18,0.20,0.21,0.41,3.50,26,1,,6.48
Jorge De Frutos,Rayo Vallecano,28,Ailier droit,36,2573,6,3,07.01,4.13,0.25,0.14,0.39,4.00,52,1.4,,6.56
Jofre Carreras,Espanyol,24,Ailier droit,37,2217,3,3,3.2,2.5,0.13,0.10,0.23,3.00,45,1.1,,6.42
Antoniu Roca,Espanyol,22,Ailier droit,26,1023,0,1,01.06,1.2,0.09,0.11,0.2,1.80,,0.4,,6.35
Ilias Akhomach,Villarreal,21,Ailier droit,11,604,1,0,0.61,1.25,0.09,0.19,0.28,15.00,17,#N/A,,#N/A
Suso,Sevilla,31,Ailier droit,16,572,0,2,0.63,2.18,0.10,0.34,0.44,1.50,16,#N/A,,#N/A
Fran Beltran,Celta Vigo,26,Ailier droit,34,2443,2,1,0.9,2.11,0.03,0.08,0.11,8.00,,0.7,,6.48
Adnan Januzaj,Las Palmas,30,Ailier droit,18,563,2,1,0.99,1.17,0.16,0.19,0.35,1.20,16,#N/A,,#N/A
Luka Modric,Real Madrid,39,Ailier droit,35,1774,2,6,1.62,7.9,0.08,0.40,0.48,4.00,,0.4,,6.84
Portu,Girona,33,Ailier droit,27,728,1,2,1.76,1.63,0.22,0.20,0.42,1.80,8,0.3,,6.21
Yaser Asprilla,Girona,21,Ailier droit,27,1392,3,1,1.98,03.06,0.13,0.20,0.33,15.00,38,1.4,,6.54
Lamine Yamal,Barcelona,17,Ailier droit,35,2879,9,13,11.59,14.47,0.36,0.45,0.81,200.00,144,4.6,,08.01
Anuar Mohamed,Real Valladolid,30,Ailier droit,26,1748,2,0,2.26,1.19,0.12,0.06,0.18,0.90,,#N/A,,#N/A
Adrian Embarba,Rayo Vallecano,33,Ailier droit,35,1603,1,1,2.27,2.51,0.13,0.14,0.27,1.20,,#N/A,,#N/A
Antony,Real Betis,25,Ailier droit,17,1372,5,2,2.78,4.68,0.18,0.31,0.49,35.00,43,#N/A,,#N/A
