Nom,Equipe,Age,Poste,apps,min,goals,assists,xG,xA,xG90,xA90,xG90xA90,Valeur marchande(mio)
Jon Martin,Real Sociedad,19,Défenseur central,13,884,0,1,0.5,0.16,0.05,0.02,0.07,8.00
Jon Pacheco,Real Sociedad,24,Défenseur central,14,849,0,0,0.09,0.06,0.01,0.01,0.02,6.00
Aritz Elustondo,Real Sociedad,31,Défenseur central,22,1452,0,0,0.51,0.22,0.03,0.01,0.05,3.00
Igor Zubeldia,Real Sociedad,28,Défenseur central,28,2283,0,0,0.91,0.29,0.04,0.01,0.05,12.00
Nayef Aguerd,Real Sociedad,29,Défenseur central,21,1772,0,0,2.15,0.35,0.11,0.02,0.13,18.00
Javi Sanchez,Real Valladolid,28,Défenseur central,25,2050,2,0,0.52,0.48,0.02,0.02,0.04,1.50
Cenk Özkacar,Real Valladolid,24,Défenseur central,11,750,0,0,0.11,0.03,0.01,0.00,0.02,1.20
Juma Bah,Real Valladolid,19,Défenseur central,12,862,0,0,0.18,0.02,0.02,0.00,0.02,6.00
David Torres,Real Valladolid,22,Défenseur central,18,1384,0,0,0.21,0.01,0.01,0.00,0.01,1.50
Eray Cömert,Real Valladolid,27,Défenseur central,25,1800,0,0,1.21,0,0.06,0.00,0.06,2.00
Kike Salas,Sevilla,23,Défenseur central,31,2238,3,2,2.17,0.75,0.09,0.03,0.12,8.00
Marcao,Sevilla,29,Défenseur central,12,547,0,0,0,0,0.00,0.00,0,2.00
Tanguy Nianzou,Sevilla,23,Défenseur central,6,524,0,0,0.17,0,0.03,0.00,0.03,1.50
Loïc Bade,Sevilla,25,Défenseur central,32,2682,1,1,0.82,0.36,0.03,0.01,0.04,25.00
Yarek Gasiorowski,Valencia,20,Défenseur central,15,944,0,0,01.03,0.16,0.10,0.02,0.11,7.50
Cristhian Mosquera,Valencia,21,Défenseur central,37,3322,1,0,0.35,0,0.01,0.00,0.01,30.00
Mouctar Diakhaby,Valencia,28,Défenseur central,13,641,2,0,1.32,0.02,0.19,0.00,0.19,2.00
Jose Gaya,Valencia,30,Défenseur central,23,1839,0,1,1.33,3.39,0.07,0.17,0.23,9.00
Cesar Tarrega,Valencia,23,Défenseur central,34,3029,2,0,2.28,0.11,0.07,0.00,0.07,10.00
Logan Costa,Villarreal,24,Défenseur central,32,2596,2,1,1,0.32,0.03,0.01,0.05,18.00
Raul Albiol,Villarreal,39,Défenseur central,15,1186,0,0,0.11,0,0.01,0.00,0.01,1.00
Willy Kambwala,Villarreal,20,Défenseur central,19,1097,0,0,0.23,0.07,0.02,0.01,0.02,4.00
Eric Bailly,Villarreal,31,Défenseur central,12,632,0,0,0.24,0,0.03,0.00,0.03,2.00
Stoichkov,Alaves,31,Deuxième attaquant,16,675,0,1,1.19,01.03,0.16,0.14,0.3,1.50
Antoine Griezmann,Atletico Madrid,34,Deuxième attaquant,38,2514,8,7,8.41,8.12,0.30,0.29,0.59,18.00
angel Correa,Atletico Madrid,30,Deuxième attaquant,31,721,4,1,5.4,02.08,0.67,0.26,0.93,10.00
Iker Losada,"Celta Vigo,Real Betis",23,Deuxième attaquant,22,670,1,0,1.72,0.96,0.23,0.13,0.36,1.50
Isi Palazon,Rayo Vallecano,30,Deuxième attaquant,35,2166,4,4,5.38,4.51,0.22,0.19,0.41,3.50
Peque,Sevilla,22,Deuxième attaquant,26,1144,1,1,1.95,1.34,0.15,0.11,0.26,3.50
Dani Gomez,Valencia,26,Deuxième attaquant,14,504,2,0,2.7,0.03,0.48,0.01,0.49,1.00
Antonio Sivera,Alaves,28,Gardien de but,32,2817,0,0,0,0.04,0.00,0.00,0,6.00
Aleksandar Sedlar,Alaves,33,Gardien de but,9,599,0,0,0.02,0,0.00,0.00,0,0.30
Julen Agirrezabala,Athletic Club,24,Gardien de but,14,1212,0,0,0,0,0.00,0.00,0,15.00
Unai Simon,Athletic Club,28,Gardien de but,21,1890,0,0,0,0,0.00,0.00,0,28.00
Jan Oblak,Atletico Madrid,32,Gardien de but,36,3240,0,0,0,0.02,0.00,0.00,0,20.00
Inaki Pena,Barcelona,26,Gardien de but,16,1393,0,0,0,0,0.00,0.00,0,8.00
Marc-Andre ter Stegen,Barcelona,33,Gardien de but,8,677,0,0,0,0,0.00,0.00,0,12.00
Wojciech Szczesny,Barcelona,35,Gardien de but,15,1350,0,0,0,0,0.00,0.00,0,1.00
Vicente Guaita,Celta Vigo,38,Gardien de but,34,3060,0,0,0,0,0.00,0.00,0,0.70
Joan Garcia,Espanyol,24,Gardien de but,38,3420,0,0,0.07,0,0.00,0.00,0,25.00
David Soria,Getafe,32,Gardien de but,38,3420,0,0,0,0,0.00,0.00,0,3.00
Paulo Gazzaniga,Girona,33,Gardien de but,36,3198,0,0,0,0,0.00,0.00,0,2.50
Dinko Horkas,Las Palmas,26,Gardien de but,13,1081,0,0,0,0,0.00,0.00,0,1.20
Jasper Cillessen,Las Palmas,36,Gardien de but,27,2339,0,0,0,0,0.00,0.00,0,0.80
Juan Soriano,Leganes,27,Gardien de but,6,540,0,0,0,0,0.00,0.00,0,1.00
Marko Dmitrovic,Leganes,33,Gardien de but,32,2880,0,0,0,0.1,0.00,0.00,0,0.80
Leo Roman,Mallorca,24,Gardien de but,7,630,0,0,0,0,0.00,0.00,0,5.00
Dominik Greif,Mallorca,28,Gardien de but,31,2790,0,0,0,0,0.00,0.00,0,6.00
Sergio Herrera,Osasuna,32,Gardien de but,37,3330,0,0,0,0,0.00,0.00,0,3.00
Dani Cardenas,Rayo Vallecano,28,Gardien de but,6,540,0,0,0,0,0.00,0.00,0,1.80
Augusto Batalla,Rayo Vallecano,29,Gardien de but,32,2880,0,0,0,0.03,0.00,0.00,0,6.00
Rui Silva,Real Betis,31,Gardien de but,15,1350,0,0,0,0.08,0.00,0.01,0.01,7.00
Adrian,Real Betis,38,Gardien de but,19,1710,0,0,0,0,0.00,0.00,0,0.50
Andriy Lunin,Real Madrid,26,Gardien de but,7,630,0,1,0,0.92,0.00,0.13,0.13,18.00
Thibaut Courtois,Real Madrid,33,Gardien de but,30,2700,0,0,0,0.17,0.00,0.01,0.01,20.00
Alex Remiro,Real Sociedad,30,Gardien de but,36,3240,0,0,0,0,0.00,0.00,0,18.00
Andre Ferreira,Real Valladolid,29,Gardien de but,6,540,0,0,0,0,0.00,0.00,0,0.70
Karl Hein,Real Valladolid,23,Gardien de but,31,2790,0,0,0,0,0.00,0.00,0,3.00
alvaro Fernandez,Sevilla,27,Gardien de but,9,744,0,0,0,0.05,0.00,0.01,0.01,2.00
Ørjan Nyland,Sevilla,34,Gardien de but,30,2676,0,0,0,0.36,0.00,0.01,0.01,0.90
Giorgi Mamardashvili,Valencia,24,Gardien de but,34,3060,0,0,0,0.07,0.00,0.00,0,30.00
Luiz Junior,Villarreal,24,Gardien de but,17,1455,0,0,0,0,0.00,0.00,0,10.00
Diego Conde,Villarreal,26,Gardien de but,22,1965,0,1,0,0.4,0.00,0.02,0.02,7.50
Pau Navarro,Villarreal,20,Gardien de but,17,902,0,0,0.02,0.01,0.00,0.00,0,3.00
Antonio Sanchez,Mallorca,28,Miilieu central,33,1353,0,0,1.29,0.42,0.09,0.03,0.11,2.50
Ander Guevara,Alaves,27,Milieu central,33,1969,0,1,0.97,0.67,0.04,0.03,0.08,3.50
Joan Jordan,Alaves,30,Milieu central,25,1397,5,2,4.28,2.17,0.28,0.14,0.42,2.50
Jon Guridi,Alaves,30,Milieu central,33,2149,3,1,4.34,1.14,0.18,0.05,0.23,3.00
Carles Alena,"Alaves,Getafe",27,Milieu central,24,1568,0,2,1.25,02.07,0.07,0.12,0.19,2.50
Mikel Jauregizar,Athletic Club,21,Milieu central,34,2244,2,1,01.04,1.6,0.04,0.06,0.11,30.00
Benat Prados,Athletic Club,24,Milieu central,30,1736,1,0,0.91,01.09,0.05,0.06,0.1,18.00
Alex Berenguer,Athletic Club,29,Milieu central,36,2381,6,7,7.48,6.5,0.28,0.23,0.51,9.00
Inigo Ruiz,Athletic Club,31,Milieu central,26,1502,0,4,0.37,3.47,0.02,0.21,0.23,3.00
Conor Gallagher,Atletico Madrid,25,Milieu central,32,1637,3,3,3,1.31,0.16,0.07,0.24,40.00
Marcos Llorente,Atletico Madrid,30,Milieu central,33,2515,2,4,0.68,3.79,0.02,0.14,0.16,25.00
Pablo Barrios,Atletico Madrid,22,Milieu central,31,2347,1,4,1.37,2.93,0.05,0.11,0.16,55.00
Rodrigo de Paul,Atletico Madrid,31,Milieu central,34,2137,3,5,1.47,5.93,0.06,0.25,0.31,25.00
Frenkie de Jong,Barcelona,28,Milieu central,26,1105,2,2,01.02,2.3,0.08,0.19,0.27,45.00
Gavi,Barcelona,20,Milieu central,26,1079,1,1,01.06,1.65,0.09,0.14,0.23,60.00
Marc Casado,Barcelona,21,Milieu central,23,1640,1,3,0.91,1.63,0.05,0.09,0.14,30.00
Pedri,Barcelona,22,Milieu central,37,2941,4,5,2.51,7.81,0.08,0.24,0.32,140.00
Ilaix Moriba,Celta Vigo,22,Milieu central,33,2115,1,1,2.14,2.32,0.09,0.10,0.19,6.00
Fernando Lopez,Celta Vigo,21,Milieu central,17,654,2,0,2.64,2.18,0.36,0.30,0.66,5.00
Fran Beltran,Celta Vigo,26,Milieu central,34,2443,2,1,0.9,2.11,0.03,0.08,0.11,8.00
Jose Gragera,Espanyol,25,Milieu central,10,580,0,0,0.04,0.02,0.01,0.00,0.01,2.00
Pol Lozano,Espanyol,25,Milieu central,30,2015,0,1,0.16,1,0.01,0.04,0.05,5.00
Edu Exposito,Espanyol,28,Milieu central,19,1044,0,2,1.19,3.67,0.10,0.32,0.42,3.00
Alex Kral,Espanyol,27,Milieu central,37,2699,0,1,1.97,2.12,0.07,0.07,0.14,6.00
Javi Puado,Espanyol,27,Milieu central,35,3023,12,4,11.95,2.97,0.36,0.09,0.44,10.00
Carles Perez,Getafe,27,Milieu central,27,1438,3,0,3.45,1.21,0.22,0.08,0.29,2.00
Mauro Arambarri,Getafe,29,Milieu central,35,2670,10,0,9.48,0.65,0.32,0.02,0.34,12.00
Luis Milla,Getafe,30,Milieu central,33,2887,1,4,1.86,4.25,0.06,0.13,0.19,3.50
Ramon Terrats,"Getafe,Villarreal",24,Milieu central,26,1356,4,1,2.91,3.27,0.19,0.22,0.41,4.00
Arthur Melo,Girona,28,Milieu central,15,943,0,0,0.27,0.18,0.03,0.02,0.04,5.00
Donny van de Beek,Girona,28,Milieu central,26,1435,2,2,1.39,3.2,0.09,0.20,0.29,5.00
Yangel Herrera,Girona,27,Milieu central,29,2293,4,3,4.83,2.41,0.19,0.09,0.28,15.00
Jose Campana,Las Palmas,32,Milieu central,25,1208,0,3,0.14,0.89,0.01,0.07,0.08,0.90
Javi Munoz,Las Palmas,30,Milieu central,35,2592,1,3,02.04,2.32,0.07,0.08,0.15,2.00
Darko Brasanac,Leganes,33,Milieu central,30,1606,1,2,02.05,0.32,0.12,0.02,0.13,0.50
Seydouba Cisse,Leganes,24,Milieu central,34,2494,3,1,2.29,0.88,0.08,0.03,0.11,3.00
Dani Raba,Leganes,29,Milieu central,29,1925,8,6,7.21,6.13,0.34,0.29,0.62,2.50
Manu Morlanes,Mallorca,26,Milieu central,23,1335,0,0,0.45,0.45,0.03,0.03,0.06,2.50
Sergi Darder,Mallorca,31,Milieu central,38,2811,2,6,1.89,4.96,0.06,0.16,0.22,4.00
Pablo Ibanez,Osasuna,26,Milieu central,28,1286,1,1,1.41,1.21,0.10,0.08,0.18,2.00
Unai Lopez,Rayo Vallecano,29,Milieu central,32,1740,3,1,1.56,0.91,0.08,0.05,0.13,2.50
Pathe Ciss,Rayo Vallecano,31,Milieu central,33,2166,4,1,2.56,1.44,0.11,0.06,0.17,2.00
Pedro Diaz,Rayo Vallecano,27,Milieu central,26,1199,3,0,2.71,2.28,0.20,0.17,0.37,3.00
Sergi Altimira,Real Betis,23,Milieu central,32,1985,0,1,1.64,1.77,0.07,0.08,0.15,15.00
Pablo Fornals,Real Betis,29,Milieu central,26,1876,2,0,1.94,03.07,0.09,0.15,0.24,6.00
Dani Ceballos,Real Madrid,28,Milieu central,23,1235,0,0,0.31,1.94,0.02,0.14,0.16,10.00
Eduardo Camavinga,Real Madrid,22,Milieu central,19,1079,1,2,0.89,0.91,0.07,0.08,0.15,60.00
Federico Valverde,Real Madrid,26,Milieu central,36,3035,6,4,2.51,4.41,0.07,0.13,0.21,130.00
Luka Modric,Real Madrid,39,Milieu central,35,1774,2,6,1.62,7.9,0.08,0.40,0.48,4.00
Pablo Marin,Real Sociedad,21,Milieu central,23,1224,1,2,2.2,1.17,0.16,0.09,0.25,8.00
Benat Turrientes,Real Sociedad,23,Milieu central,21,933,0,0,0.34,0.37,0.03,0.04,0.07,10.00
Luka Sucic,Real Sociedad,22,Milieu central,29,1804,1,1,3.66,3.43,0.18,0.17,0.35,15.00
Jon Ander Olasagasti,Real Sociedad,24,Milieu central,22,821,1,1,1.22,01.06,0.13,0.12,0.25,4.00
Kike Perez,Real Valladolid,28,Milieu central,19,1225,2,0,2.24,1.38,0.16,0.10,0.27,2.80
Albert Sambi Lokonga,Sevilla,25,Milieu central,22,1482,0,2,0.77,1.4,0.05,0.09,0.13,8.00
Djibril Sow,Sevilla,28,Milieu central,30,2095,2,1,2.68,02.02,0.12,0.09,0.2,7.50
Saul niguez,Sevilla,30,Milieu central,24,1556,1,6,3.65,2.11,0.21,0.12,0.33,3.00
Javi Guerra,Valencia,22,Milieu central,36,2642,3,3,2.31,3.46,0.08,0.12,0.2,25.00
Dani Parejo,Villarreal,36,Milieu central,36,2279,3,3,2.64,1.28,0.10,0.05,0.15,1.50
Pape Gueye,Villarreal,26,Milieu central,34,2246,4,0,3.89,1.54,0.16,0.06,0.22,15.00
Santi Comesana,Villarreal,28,Milieu central,35,2597,4,2,4.79,2.94,0.17,0.10,0.27,8.00
Antonio Blanco,Alaves,24,Milieu défensif,35,2755,0,1,0.71,1.74,0.02,0.06,0.08,10.00
Axel Witsel,Atletico Madrid,36,Milieu défensif,14,845,0,1,0.06,0.84,0.01,0.09,0.1,2.00
Damian Rodriguez,Celta Vigo,22,Milieu défensif,17,934,0,0,0.13,0.77,0.01,0.07,0.09,3.00
Jailson,Celta Vigo,29,Milieu défensif,13,600,0,0,0.14,0.01,0.02,0.00,0.02,1.00
Hugo Sotelo,Celta Vigo,21,Milieu défensif,24,1268,0,0,0.21,1.46,0.01,0.10,0.12,4.00
Urko Gonzalez,"Espanyol,Real Sociedad",24,Milieu défensif,18,1441,0,2,0.68,0.87,0.04,0.05,0.1,5.00
Oriol Romeu,Girona,33,Milieu défensif,25,1357,0,0,0.2,0.55,0.01,0.04,0.05,1.20
Stefan Bajcetic,Las Palmas,20,Milieu défensif,14,986,1,0,0.16,0.22,0.01,0.02,0.03,9.00
Enzo Loiodice,Las Palmas,24,Milieu défensif,17,661,0,0,0.22,0.17,0.03,0.02,0.05,1.20
Dario Essugo,Las Palmas,20,Milieu défensif,27,1985,1,0,0.65,0.43,0.03,0.02,0.05,20.00
Yvan Neyou,Leganes,28,Milieu défensif,30,2344,1,1,0.46,0.71,0.02,0.03,0.04,3.00
Renato Tapia,Leganes,29,Milieu défensif,34,2442,1,0,0.63,0.27,0.02,0.01,0.03,2.00
Samu Costa,Mallorca,24,Milieu défensif,32,2667,0,2,02.07,1.75,0.07,0.06,0.13,15.00
Omar Mascarell,Mallorca,32,Milieu défensif,32,1994,1,0,0.86,0.08,0.04,0.00,0.04,0.90
Iker Munoz,Osasuna,22,Milieu défensif,23,554,0,1,0.52,0.97,0.08,0.16,0.24,3.00
Lucas Torro,Osasuna,30,Milieu défensif,35,2983,3,0,2.67,0.98,0.08,0.03,0.11,3.00
Gerard Gumbau,Rayo Vallecano,30,Milieu défensif,22,824,0,1,1.29,1.19,0.14,0.13,0.27,1.50
Marc Roca,Real Betis,28,Milieu défensif,14,912,2,2,1.11,1.5,0.11,0.15,0.26,6.00
Johnny Cardoso,Real Betis,23,Milieu défensif,28,2147,3,1,2.67,0.73,0.11,0.03,0.14,25.00
Aurelien Tchouameni,Real Madrid,25,Milieu défensif,32,2697,0,0,1.82,0.72,0.06,0.02,0.08,75.00
Tamas Nikitscher,Real Valladolid,25,Milieu défensif,13,853,0,0,0.02,0.03,0.00,0.00,0.01,1.00
Stanko Juric,Real Valladolid,28,Milieu défensif,26,1757,0,0,0.39,0.53,0.02,0.03,0.05,1.20
Mario Martin,Real Valladolid,21,Milieu défensif,30,1740,0,1,1.67,1.38,0.09,0.07,0.16,1.50
Florian Grillitsch,Real Valladolid,29,Milieu défensif,13,627,0,0,0.23,0.65,0.03,0.09,0.13,2.00
Lucien Agoume,Sevilla,23,Milieu défensif,35,2113,1,3,0.65,2.38,0.03,0.10,0.13,8.00
Nemanja Gudelj,Sevilla,33,Milieu défensif,31,2495,1,1,1.51,0.65,0.05,0.02,0.08,3.00
Pepelu,Valencia,26,Milieu défensif,34,1691,2,1,1.95,2.57,0.10,0.14,0.24,9.00
Enzo Barrenechea,Valencia,24,Milieu défensif,30,2245,1,2,1.26,0.83,0.05,0.03,0.08,10.00
Mikel Vesga,Athletic Club,32,Milieu offensif,25,977,0,0,1.24,01.04,0.11,0.10,0.21,2.50
Oihan Sancet,Athletic Club,25,Milieu offensif,29,1645,15,1,10.46,1.86,0.57,0.10,0.67,60.00
Unai Gomez,Athletic Club,22,Milieu offensif,32,1267,1,3,2.79,01.02,0.20,0.07,0.27,6.00
Fermin Lopez,Barcelona,22,Milieu offensif,28,1224,6,5,4.76,4.71,0.35,0.35,0.7,50.00
Dani Olmo,Barcelona,27,Milieu offensif,25,1221,10,4,6.64,3.85,0.49,0.28,0.77,60.00
Ivan Martin,Girona,26,Milieu offensif,32,2054,1,1,1.43,1.89,0.06,0.08,0.15,6.00
Kirian Rodriguez,Las Palmas,29,Milieu offensif,21,1792,0,3,1.69,1.67,0.09,0.08,0.17,1.00
Munir El Haddadi,Leganes,29,Milieu offensif,25,844,4,0,1.43,0.71,0.15,0.08,0.23,1.50
oscar Rodriguez,Leganes,27,Milieu offensif,29,1290,1,4,2.63,2.82,0.18,0.20,0.38,2.00
Dani Rodriguez,Mallorca,19,Milieu offensif,37,2207,4,7,3.41,4.18,0.14,0.17,0.31,0.80
Moi Gomez,Osasuna,31,Milieu offensif,26,730,0,0,0.35,0.89,0.04,0.11,0.15,2.00
Jon Moncayola,Osasuna,27,Milieu offensif,32,2144,0,0,1.58,3.29,0.07,0.14,0.2,7.00
Aimar Oroz,Osasuna,23,Milieu offensif,37,3027,5,4,4.51,04.08,0.13,0.12,0.26,15.00
oscar Valentin,Rayo Vallecano,30,Milieu offensif,34,1804,0,0,0.75,0.81,0.04,0.04,0.08,2.50
Randy Nteka,Rayo Vallecano,27,Milieu offensif,24,1151,3,0,3.34,0.76,0.26,0.06,0.32,1.50
Giovani Lo Celso,Real Betis,29,Milieu offensif,25,1437,8,3,4.73,4.67,0.30,0.29,0.59,15.00
Isco,Real Betis,33,Milieu offensif,22,1565,9,8,8.83,05.05,0.51,0.29,0.8,6.00
Arda Güler,Real Madrid,20,Milieu offensif,28,1252,3,4,4,6.17,0.29,0.44,0.73,45.00
Jude Bellingham,Real Madrid,22,Milieu offensif,31,2510,9,8,13.08,4.31,0.47,0.15,0.62,180.00
Brais Mendez,Real Sociedad,28,Milieu offensif,27,1552,3,2,04.05,2.27,0.23,0.13,0.37,22.00
Martin Zubimendi,Real Sociedad,26,Milieu offensif,36,2966,2,1,3.92,1.21,0.12,0.04,0.16,60.00
Chuki,Real Valladolid,21,Milieu offensif,18,720,2,0,2.61,1.4,0.33,0.18,0.5,1.50
Selim Amallah,Real Valladolid,28,Milieu offensif,24,1405,3,1,2.62,1.33,0.17,0.08,0.25,1.60
Andre Almeida,Valencia,25,Milieu offensif,34,2019,0,4,1.44,3.68,0.06,0.16,0.23,10.00
Denis Suarez,Villarreal,31,Milieu offensif,21,583,1,1,1.15,1.69,0.18,0.26,0.44,1.20
